layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_22,336,flower,0.12683105,0.10696917772293091
encoder.layers.encoder_layer_22,337,slots,0.30773926,0.0739903450012207
encoder.layers.encoder_layer_22,338,ibis,0.18371582,0.10870812833309174
encoder.layers.encoder_layer_22,339,fisheries,0.21261597,0.12901440262794495
encoder.layers.encoder_layer_22,340,bees,0.1661377,0.07444893568754196
encoder.layers.encoder_layer_22,341,street,0.15722656,0.0753321573138237
encoder.layers.encoder_layer_22,342,fasteners,0.19033813,0.06806379556655884
encoder.layers.encoder_layer_22,343,female,0.21456909,0.009748085401952267
encoder.layers.encoder_layer_22,344,coral,0.22711182,0.08586882054805756
encoder.layers.encoder_layer_22,345,textile,0.33291626,-0.0216054804623127
encoder.layers.encoder_layer_22,346,perfumes,0.2828369,0.09833823889493942
encoder.layers.encoder_layer_22,347,coyote,0.27468872,0.12930212914943695
encoder.layers.encoder_layer_22,348,monkey,0.19778442,0.09104954451322556
encoder.layers.encoder_layer_22,349,observatory,0.18261719,0.08157891780138016
encoder.layers.encoder_layer_22,350,bear,0.19607544,-0.0048437826335430145
encoder.layers.encoder_layer_22,351,gymnastics,0.27200317,0.11510232836008072
encoder.layers.encoder_layer_22,352,zebra,0.5572815,0.13022463023662567
encoder.layers.encoder_layer_22,353,partitioning,0.20297241,0.0659794807434082
encoder.layers.encoder_layer_22,354,snorkeling,0.17840576,-0.010611052624881268
encoder.layers.encoder_layer_22,355,spiral,0.13973999,0.03351142257452011
encoder.layers.encoder_layer_22,356,slug,0.29266357,0.16961096227169037
encoder.layers.encoder_layer_22,357,weights,0.3033142,0.06519963592290878
encoder.layers.encoder_layer_22,358,percussion,0.15283203,0.103925421833992
encoder.layers.encoder_layer_22,359,barbecue,0.14837646,0.06091415137052536
encoder.layers.encoder_layer_22,360,benches,0.23239136,0.11448121070861816
encoder.layers.encoder_layer_22,361,segments,0.14334106,-0.016274264082312584
encoder.layers.encoder_layer_22,362,figs,0.22781372,0.07208183407783508
encoder.layers.encoder_layer_22,363,mating,0.20291138,-0.04495106264948845
encoder.layers.encoder_layer_22,364,grid,0.12295532,0.032943401485681534
encoder.layers.encoder_layer_22,365,barn,0.16784668,0.09565132111310959
encoder.layers.encoder_layer_22,366,gauge,0.112579346,0.08085227757692337
encoder.layers.encoder_layer_22,367,instrument,0.15713501,0.16125358641147614
encoder.layers.encoder_layer_22,368,shell,0.16421509,0.06198601797223091
encoder.layers.encoder_layer_22,369,webs,0.23010254,0.06270885467529297
encoder.layers.encoder_layer_22,370,terrier,0.42236328,0.14291882514953613
encoder.layers.encoder_layer_22,371,shark,0.21829224,0.09849459677934647
encoder.layers.encoder_layer_22,372,urn,0.2220459,0.13981740176677704
encoder.layers.encoder_layer_22,373,terrier,0.101623535,0.0723782330751419
encoder.layers.encoder_layer_22,374,jukebox,0.19155884,0.0677151158452034
