layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,261,0.3595713612435748,5.489233,tile roof,3.5494466,seafood,2.1375215,flamingo,1.4330125,tarantula,0.4599681794643402,0.27236706018447876
layer4,262,0.2445431356084737,1.7330271,Crock Pot,1.5736012,pot,1.495157,gar fish,1.4456449,drum,0.3889475762844085,0.283015638589859
layer4,263,0.2879568821963943,4.0351696,layout,2.9002204,ephemera,2.254232,dust jacket,1.5090976,tradition,0.2585550248622894,0.30074864625930786
layer4,264,0.3603210906699394,6.2863336,cardboard,4.006609,equipment,2.5823498,armament,2.497784,apiary,0.3937641084194183,0.36990439891815186
layer4,265,0.2622257918656446,2.8578634,gorilla,2.1130562,submarine,1.9639652,Bouvier des Flandres dog,1.9193009,American coot,0.3839499652385711,0.2863771915435791
layer4,266,0.2779121466159528,2.8682356,attire,2.7431211,garment,1.7190961,swimsuit,1.7073584,hourglass,0.3454281091690063,0.31902894377708435
layer4,267,0.3699768667356186,5.5155888,overflight,4.6917105,gale,4.317339,kite,2.6042128,vol,0.626228928565979,0.2830977737903595
layer4,268,0.3896253014948935,6.6502414,starboard,3.1654842,grey whale,1.8985662,seabird,1.1402487,aquatic bird,0.4274158775806427,0.4148678779602051
layer4,269,0.6090032943125402,4.4266906,Airedale Terrier,3.3703182,setter,3.3347223,matted,2.4015048,borzoi,0.3925643265247345,0.5822060704231262
layer4,270,0.3587411104455875,3.279151,sports equipment,2.5550418,passing,1.851145,helmet,1.5716804,magpie,0.3215977847576141,0.3909114897251129
layer4,271,0.5252040619372056,2.77227,tarantula,2.5545764,primate,2.367929,wolfhound,1.5048685,Flat-Coated Retriever,0.3531295955181122,0.5099878311157227
layer4,272,0.3758995655624091,5.8970833,mixing bowl,4.1494923,speedboat,3.404864,airship,1.3903983,bird,0.3685666620731354,0.39005041122436523
layer4,273,0.4467220240748101,4.431826,appliance,3.4944305,limo,2.8629115,photocopier,2.5740888,Polaroid camera,0.3928360342979431,0.3404100239276886
layer4,274,0.404191207866363,3.9556525,iron,3.7258706,gong,3.4715567,cooking,2.7734637,armour,0.4157476127147674,0.43682533502578735
layer4,275,0.446386813488644,1.6396322,Shih Tzu,1.0981086,schnauzer,0.8997934,Scottish Terrier,0.0145030115,Miniature Schnauzer,0.1952147483825683,0.45202553272247314
layer4,276,0.3356296133160494,3.7401817,cruciferous vegetable,2.9954686,bubble,2.9758744,cabbage,2.1652803,Weimaraner,0.4803162515163421,0.36242449283599854
layer4,277,0.267429466251486,1.9120753,koala,1.6328481,rabbit,1.5797096,gander,1.4386647,high-speed train,0.368632435798645,0.2673719525337219
layer4,278,0.5008571114480364,3.0851707,Italian Greyhound,2.2553735,borzoi,2.1489255,greyhound,2.0627956,canine,0.458987683057785,0.49573814868927
layer4,279,0.5249286595027939,3.1050978,crustacean,2.9430187,invertebrate,2.615525,amphibian,2.2666728,hatchling,0.6034144759178162,0.5247829556465149
layer4,280,0.3480121882676106,4.404423,dumbbell,3.1815538,Chihuahua,2.208025,corgi,1.6987504,wild dog,0.4644028842449188,0.3242672383785248
layer4,281,0.3280436011484292,1.9548362,Flat-Coated Retriever,1.5443629,Schipperke,1.4478396,tarantula,1.2420182,brussels griffon,0.3302066028118133,0.3599717319011688
